ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,-1,8.660602,0.7839133,0.549206,3.186125,0.2792365,-37.59301,19.00411,LEFT_ACCELERATE
-1,-1,8.657646,0.7890399,0.5472346,4.510193,0.2792119,-36.95314,19.10331,LEFT_ACCELERATE
-1,-1,8.656256,0.7810323,0.5452353,5.752323,0.2792113,-36.1893,19.2016,LEFT_ACCELERATE
-1,-1,8.656945,0.7765177,0.5428442,6.914415,0.2792395,-35.28946,19.30063,LEFT_ACCELERATE
-1,-1,8.66155,0.765094,0.540823,8.034433,0.2792517,-34.19397,19.40626,LEFT_ACCELERATE
-1,-1,8.658524,0.7688412,0.5421291,8.937914,0.2792506,-33.09246,19.50233,LEFT_ACCELERATE
-1,-1,8.656326,0.7821515,0.5418888,9.741947,0.2792295,-31.86447,19.60139,LEFT_ACCELERATE
-1,-1,8.634059,0.8277563,0.563719,10.43605,0.2791879,-30.56808,19.7005,LEFT_ACCELERATE
-1,-1,8.607275,0.9015861,0.5966922,11.01512,0.2791799,-29.18978,19.80105,LEFT_ACCELERATE
-1,-1,8.616648,0.8502607,0.5825474,11.41086,0.2791976,-27.76423,19.90065,LEFT_ACCELERATE
-1,-1,8.652061,0.7713841,0.5456178,11.6864,0.2792133,-26.2212,20.00651,LEFT_ACCELERATE
-1,-1,8.637083,0.8182184,0.5613117,11.87523,0.2792117,-24.77205,20.10524,LEFT_ACCELERATE
-1,-1,8.634237,0.7938668,0.5648395,11.94394,0.279179,-23.30003,20.20441,LEFT_ACCELERATE
-1,-1,8.621627,0.836394,0.5800691,11.98256,0.2791634,-21.82272,20.30364,ACCELERATE
-1,-1,8.586489,0.8869286,0.6151875,12.01742,0.2791612,-20.33527,20.40353,ACCELERATE
-1,-1,8.553917,0.9338216,0.6477494,12.0498,0.2791597,-18.86084,20.50254,ACCELERATE
-1,-1,8.522985,0.9783604,0.6786725,12.08092,0.2791591,-17.37712,20.60218,ACCELERATE
-1,-1,8.492679,1.022007,0.7089738,12.11114,0.2791598,-15.88948,20.70207,ACCELERATE
-1,-1,8.463078,1.06464,0.7385703,12.14071,0.2791588,-14.40014,20.80207,ACCELERATE
-1,-1,8.433922,1.106634,0.7677214,12.16974,0.2791602,-12.91495,20.9018,ACCELERATE
-1,-1,8.40514,1.14809,0.7964994,12.19838,0.2791598,-11.4333,21.00129,ACCELERATE
-1,-1,8.375051,1.191433,0.8265862,12.22843,0.2791595,-9.866131,21.10652,ACCELERATE
-1,-1,8.34701,1.231822,0.8546232,12.25642,0.2791595,-8.398257,21.20508,ACCELERATE
-1,-1,8.318812,1.272437,0.8828176,12.28449,0.2791592,-6.920273,21.30433,ACCELERATE
-1,-1,8.29055,1.313145,0.9110768,12.31278,0.2791593,-5.426268,21.40464,ACCELERATE
-1,-1,8.262419,1.353663,0.9392054,12.34102,0.2791595,-3.931322,21.50502,ACCELERATE
-1,-1,8.234423,1.393986,0.9671984,12.36902,0.2791595,-2.44608,21.60475,ACCELERATE
-1,-1,8.207602,1.432614,0.9940163,12.39635,0.2791595,-0.9948958,21.70219,ACCELERATE
-1,-1,8.178239,1.474904,1.023377,12.42507,0.2791594,0.5327026,21.80477,ACCELERATE
-1,-1,8.150014,1.515551,1.051598,12.45329,0.2791594,2.035693,21.90569,ACCELERATE
-1,-1,8.122612,1.555014,1.078998,12.48077,0.2791592,3.500204,22.00402,ACCELERATE
-1,-1,8.09512,1.594604,1.106486,12.50826,0.2791593,4.967014,22.10251,ACCELERATE
-1,-1,8.067189,1.634825,1.134414,12.53618,0.2791598,6.458433,22.20265,ACCELERATE
-1,-1,8.039417,1.674817,1.162184,12.56374,0.2791594,7.93133,22.30155,ACCELERATE
-1,-1,8.012108,1.714141,1.189491,12.59129,0.2791598,9.405692,22.40055,ACCELERATE
-1,-1,7.983069,1.755953,1.218527,12.62016,0.2791596,10.95204,22.50438,ACCELERATE
-1,-1,7.955786,1.795236,1.245807,12.64753,0.2791596,12.41881,22.60287,ACCELERATE
-1,-1,7.928452,1.834592,1.273139,12.67573,0.2791592,13.932,22.70448,ACCELERATE
-1,-1,7.900646,1.874626,1.300942,12.70257,0.2791593,15.37268,22.80121,ACCELERATE
-1,-1,7.871598,1.916446,1.329987,12.73158,0.2791596,16.93215,22.90593,ACCELERATE
-1,-1,7.844245,1.955822,1.357336,12.75905,0.2791594,18.41006,23.00516,ACCELERATE
-1,-1,7.816627,1.995583,1.384953,12.78668,0.2791596,19.89767,23.10505,ACCELERATE
-1,-1,7.789391,2.03479,1.412186,12.81374,0.279159,21.35549,23.20293,ACCELERATE
-1,-1,7.761189,2.075387,1.440385,12.84224,0.2791599,22.89304,23.30617,ACCELERATE
-1,-1,7.734317,2.114066,1.467254,12.869,0.279159,24.33716,23.40314,ACCELERATE
-1,-1,7.707181,2.153127,1.494388,12.89626,0.27916,25.81028,23.50206,ACCELERATE
-1,-1,7.678506,2.194399,1.523059,12.9247,0.2791594,27.34792,23.60531,ACCELERATE
-1,-1,7.651905,2.232687,1.549658,12.9515,0.2791595,28.79845,23.70271,ACCELERATE
-1,-1,7.623149,2.274074,1.578411,12.9802,0.2791597,30.35309,23.80709,ACCELERATE
-1,-1,7.596126,2.312966,1.605432,13.00716,0.2791595,31.81518,23.90526,ACCELERATE
-1,-1,7.569424,2.351393,1.63213,13.03383,0.2791595,33.26186,24.0024,ACCELERATE
-1,9.984698,7.542331,2.390384,1.659221,13.0612,0.2791595,34.74883,24.10225,ACCELERATE
-1,9.636198,7.514968,2.456679,1.686581,13.08832,0.2791598,36.22281,24.20122,ACCELERATE
-1,9.193937,7.474538,2.708911,1.730592,13.11703,0.2791598,37.78449,24.30608,ACCELERATE
-1,8.719277,7.387499,3.221575,1.857074,13.14391,0.2791611,39.24841,24.40438,ACCELERATE
-1,8.179782,7.228016,4.24742,2.093097,13.17085,0.2791593,40.71697,24.50298,ACCELERATE
