A,B,C,D,E,F,G,H,I,action
-1,1.129255,0.8256323,-1,-1,-19.16111,0.2791805,57.59004,8.905181,LEFT_ACCELERATE
-1,3.036008,2.355984,-1,-1,-20.59749,0.2791872,57.42772,9.002501,LEFT_ACCELERATE
-1,5.254846,4.385859,-1,-1,-22.04858,0.27918,57.10366,9.102454,LEFT_ACCELERATE
-1,5.424819,4.475482,7.753344,-1,-23.51888,0.2791667,56.72923,9.204338,ACCELERATE
-1,5.201369,4.122035,7.827587,-1,-24.91993,0.2791622,56.38883,9.301144,LEFT_ACCELERATE
-1,4.748036,3.777583,8.20145,5.599938,-26.42126,0.2791633,55.95187,9.406219,LEFT_ACCELERATE
-1,4.386499,3.435181,8.447541,5.899305,-27.76928,0.2791653,55.45734,9.502653,LEFT_ACCELERATE
-1,4.357209,3.145073,8.274048,6.111342,-29.1863,0.2791623,54.93078,9.604149,ACCELERATE
-1,4.624728,3.010278,7.975316,6.210564,-30.53914,0.279162,54.44526,9.700648,LEFT_ACCELERATE
-1,4.972173,2.976024,7.770236,6.240153,-31.95146,0.2791619,53.90567,9.802197,LEFT_ACCELERATE
-1,4.829585,2.927004,7.83638,6.282541,-33.32179,0.2791785,53.22325,9.905188,LEFT_ACCELERATE
-1,4.262511,2.810783,8.196578,6.401277,-34.47799,0.2792022,52.41734,10.00013,LEFT_ACCELERATE
-1,3.553375,2.560174,8.786382,6.680414,-35.57845,0.2792011,51.32832,10.10444,LEFT_ACCELERATE
-1,3.043904,2.259711,9.222219,6.990965,-36.48366,0.2791904,50.15819,10.20401,LEFT_ACCELERATE
-1,2.430533,1.920581,9.931328,7.373244,-37.2301,0.2792079,48.858,10.30499,LEFT_ACCELERATE
-1,1.715749,1.479665,-1,7.905288,-37.71835,0.2792149,47.49835,10.40243,LEFT_ACCELERATE
-1,1.003942,0.9106922,-1,8.543793,-37.99005,0.2791996,46.03921,10.50246,LEFT_ACCELERATE
-1,0.7959218,0.5395639,-1,8.659894,-38.36687,0.2793675,44.68176,10.60154,LEFT_ACCELERATE
-1,0.856153,0.5761941,-1,8.628034,-38.93693,0.2791905,43.41447,10.70013,ACCELERATE
-1,1.198784,0.7212292,9.915178,8.519979,-39.50523,0.2791749,42.0759,10.8013,ACCELERATE
-1,1.861409,0.986145,9.329185,8.339481,-40.06766,0.2791587,40.72017,10.90175,ACCELERATE
