A,B,C,D,E,F,G,H,I,action
-1,9.236029,7.303295,2.779155,1.898742,12.61735,0.279175,42.40092,6.400178,LEFT_ACCELERATE
-1,-1,8.665209,0.7649121,0.5361437,8.197967,0.2791841,48.01756,7.003945,LEFT_ACCELERATE
-1,-1,8.666273,0.7705332,0.5345531,7.5678,0.2792279,48.68929,7.100394,LEFT_ACCELERATE
-1,-1,8.654412,0.7787884,0.5459844,6.778645,0.2792065,49.41333,7.2053,LEFT_ACCELERATE
-1,-1,8.666215,0.771597,0.5364041,5.916352,0.2792502,50.07227,7.305558,LEFT_ACCELERATE
-1,-1,8.664392,0.7709605,0.5391937,4.993695,0.2792431,50.67024,7.402683,LEFT_ACCELERATE
-1,-1,8.663184,0.777105,0.5437658,3.937956,0.2792138,51.25021,7.504948,LEFT_ACCELERATE
-1,9.946042,8.657363,0.8060649,0.5530476,2.827199,0.2791815,51.74389,7.604384,LEFT_ACCELERATE
-1,9.507535,8.612859,0.9545147,0.6174881,1.652458,0.2791653,52.21994,7.704223,ACCELERATE
-1,9.071897,8.505338,1.260579,0.7560458,0.414959,0.2791639,52.68691,7.804843,LEFT_ACCELERATE
-1,7.803377,7.125256,1.513454,0.8952045,-0.8188779,0.2791646,53.05115,7.900178,LEFT_ACCELERATE
-1,7.421437,6.676517,1.984509,1.083388,-2.166207,0.2791624,53.39104,8.000703,ACCELERATE
-1,7.425549,6.680078,2.670962,1.384646,-3.530061,0.2791598,53.7419,8.100361,ACCELERATE
-1,7.427324,6.682318,3.418529,1.758899,-4.952702,0.2791597,54.11507,8.2025,ACCELERATE
-1,7.427072,6.682498,4.158489,2.139395,-6.333502,0.2791591,54.48171,8.300149,ACCELERATE
-1,7.383521,6.633105,4.957608,2.557369,-7.849669,0.2791579,54.88607,8.405975,LEFT_ACCELERATE
-1,6.328902,5.477412,5.237226,2.873946,-9.245583,0.2791629,55.20713,8.502213,LEFT_ACCELERATE
-1,4.863383,4.00144,5.216383,3.085206,-10.71998,0.2791651,55.42774,8.602377,LEFT_ACCELERATE
-1,4.665978,3.811802,5.495645,3.282433,-12.22341,0.2791611,55.62204,8.704156,ACCELERATE
-1,4.329412,3.497507,-1,-1,-13.69771,0.2791617,55.81468,8.803981,LEFT_ACCELERATE
-1,2.423239,1.842893,-1,-1,-15.16809,0.279166,55.91859,8.903067,LEFT_ACCELERATE
-1,0.9378671,0.6816498,-1,-1,-16.63025,0.2791666,55.90582,9.001289,LEFT_ACCELERATE
-1,0.8285418,0.600194,-1,-1,-18.19038,0.2791632,55.87598,9.106059,ACCELERATE
-1,0.7517599,0.5433351,-1,-1,-19.59521,0.2791601,55.85929,9.200382,LEFT_ACCELERATE
-1,0.9802548,0.7132778,-1,-1,-21.1211,0.2791605,55.80462,9.302901,ACCELERATE
-1,0.9824651,0.7149247,-1,-1,-22.66106,0.2791607,55.75105,9.406353,LEFT_ACCELERATE
-1,1.846199,1.378894,-1,-1,-24.09498,0.2791604,55.67507,9.502792,LEFT_ACCELERATE
-1,4.365784,3.174579,-1,-1,-25.5759,0.2791768,55.46327,9.603417,LEFT_ACCELERATE
-1,3.732254,2.903874,9.006989,-1,-26.98709,0.2791918,55.0519,9.702398,LEFT_ACCELERATE
-1,3.163632,2.548615,9.569794,6.791557,-28.32234,0.2791833,54.47303,9.800291,LEFT_ACCELERATE
-1,2.793686,2.178263,9.662271,7.111795,-29.67962,0.2791689,53.79732,9.902117,LEFT_ACCELERATE
-1,2.64518,1.92893,9.490809,7.308352,-30.99075,0.2791634,53.14145,10.00056,LEFT_ACCELERATE
-1,2.710486,1.791745,9.173175,7.414742,-32.37047,0.2791631,52.42886,10.10482,ACCELERATE
